 ,m3,ppi,cpi,gdp,m1nsa,ddnsa
1960q1,692,25.4,19.280001,2391,140.53,111.67
1960q2,701.59998,25.440001,19.4,2379.2,138.42999,109.47
1960q3,709.5,25.370001,19.450001,2383.6001,139.60001,110.33
1960q4,722.09998,25.4,19.559999,2352.8999,142.67999,113.23
1961q1,726.20001,25.49,19.57,2366.5,142.22,113.4
1961q2,735.29999,25.24,19.58,2410.8,141.36,112.48
1961q3,748.20001,25.24,19.68,2450.3999,142.00999,112.62
1961q4,764.70001,25.280001,19.700001,2500.3999,146.62,116.71
1962q1,772.79999,25.42,19.74,2544,146.36,116.76
1962q2,786.90002,25.280001,19.83,2571.5,145.35001,115.38
1962q3,798.79999,25.41,19.91,2596.8,144.97,114.49
1962q4,817.29999,25.370001,19.959999,2603.3,149.23,118.29
1963q1,826.90002,25.280001,19.99,2634.1001,149.53,118.76
1963q2,841.29999,25.24,20.030001,2668.3999,148.85001,117.53
1963q3,852.5,25.34,20.18,2719.6001,150.13,118.02
1963q4,872,25.360001,20.23,2739.3999,155.2,122.38
1964q1,883.09998,25.389999,20.280001,2800.5,154.95,122.28
1964q2,899.20001,25.27,20.32,2833.8,153.94,120.66
1964q3,913.40002,25.35,20.41,2872,156.25,122.16
1964q4,935.29999,25.42,20.469999,2879.5,162.03999,127.29
1965q1,949.29999,25.530001,20.51,2950.1001,161.82001,127.29
1965q2,965.70001,25.790001,20.66,2989.8999,160.60001,125.68
1965q3,978.70001,25.98,20.75,3050.7,162.32001,126.49
1965q4,1002.1,26.129999,20.84,3123.6001,169.12,132.33
1966q1,1017.5,26.530001,21.01,3201.1001,170.39999,133.66
1966q2,1036.2,26.639999,21.219999,3213.2,170.14,132.82001
1966q3,1049.2,26.93,21.43,3233.6001,169.53,131.34
1966q4,1069.1,26.75,21.59,3261.8,173.78,134.92999
1967q1,1080.3,26.74,21.629999,3291.8,173.7,134.98
1967q2,1093,26.700001,21.780001,3289.7,174.21001,135.00999
1967q3,1112.5,26.809999,22.01,3313.5,178.05,138.03999
1967q4,1143.3,26.860001,22.190001,3338.3,184.72,143.87
1968q1,1161.9,27.23,22.43,3406.2,185.23,144.35001
1968q2,1182.5,27.4,22.68,3464.8,186.7,144.99001
1968q3,1205.4,27.51,22.959999,3489.2,190.39,147.50999
1968q4,1234.6,27.65,23.24,3504.1001,198.21001,154.3
1969q1,1252.4,28.07,23.5,3558.3,199.64,155.75999
1969q2,1273.5,28.440001,23.91,3567.6001,199.67,155.03
1969q3,1294.8,28.65,24.25,3588.3,200.61,154.83
1969q4,1324.5,28.93,24.59,3571.3999,205.75999,159
1970q1,615.70001,29.35,24.950001,3566.5,205.48,158.92
1970q2,629,29.49,25.360001,3573.8999,206.41,158.72
1970q3,652.70001,29.66,25.639999,3605.2,208.96001,160.10001
1970q4,678.20001,29.700001,25.98,3566.5,215.63,165.92
1971q1,706.29999,30.139999,26.17,3666.1001,217.02,167.25
1971q2,732.09998,30.5,26.469999,3686.2,221.02,169.89
1971q3,750,30.74,26.74,3714.5,224.67,172.00999
1971q4,776.59998,30.76,26.879999,3723.8,229.98,176.56
1972q1,800.5,31.33,27.09,3796.8999,231.88,178.55
1972q2,827,31.639999,27.309999,3883.8,235.06,180.46001
1972q3,854.79999,32.110001,27.559999,3922.3,239.92,183.95
1972q4,886.20001,32.450001,27.809999,3990.5,249.35001,191.85001
1973q1,914.70001,34.02,28.200001,4092.3,251.2,193.45
1973q2,943.5,35.669998,28.82,4133.2998,253.72,194.09
1973q3,965,37.139999,29.450001,4117,256.73999,195.67
1973q4,985.20001,37.459999,30.139999,4151.1001,263.72,201.28999
1974q1,1010,39.939999,30.99,4119.2998,264.39001,201.41
1974q2,1040.4,41.360001,31.860001,4130.3999,266.69,201.5
1974q3,1052.6,44.299999,32.830002,4084.5,269.29999,202.37
1974q4,1070.8,45.84,33.790001,4062,276.42999,207.44
1975q1,1088.7,45.830002,34.400002,4010,273.76999,204.32001
1975q2,1121.2,46.32,34.939999,4045.2,278.13,206.41
1975q3,1144.5,47.310001,35.689999,4115.3999,283.79001,209.77
1975q4,1173.3,47.82,36.259998,4167.2002,290.04999,214.27
1976q1,1202.1,48.060001,36.610001,4266.1001,288.72,212.28
1976q2,1237.9,48.77,37.060001,4301.5,294.34,214.58
1976q3,1266.8,49.360001,37.650002,4321.8999,298.03,215.57001
1976q4,1313.6,49.799999,38.080002,4357.3999,307.70001,223.03
1977q1,1345.2,50.900002,38.75,4410.5,308.89001,223.42
1977q2,1388.2,52.119999,39.580002,4489.7998,315.94,227.58
1977q3,1426.9,52.189999,40.16,4570.6001,322.01001,230.57001
1977q4,1476.2,52.799999,40.599998,4576.1001,333.07001,238.88
1978q1,1509.7,54.080002,41.290001,4588.8999,332.64999,237.55
1978q2,1553.7,55.700001,42.360001,4765.7002,342.23999,243.78999
1978q3,1597,56.560001,43.360001,4811.7002,349.88,248.23
1978q4,1652.6,57.84,44.240002,4876,360.45001,254.36
1979q1,1680.5,59.939999,45.34,4888.2998,357.04999,246.31
1979q2,1725.1,62.07,46.900002,4891.3999,368.5,251.67999
1979q3,1783.6,64.010002,48.450001,4926.2002,378.57999,256.17001
1979q4,1815.2,66.269997,49.860001,4942.6001,386.70999,261.32999
1980q1,1848.5,69.349998,51.810001,4958.8999,384.45999,257.41
1980q2,1880.3,70.739998,53.68,4857.7998,383.95999,252.37
1980q3,1935.5,73.080002,54.689999,4850.2998,399.23001,260.03
1980q4,2000.8,74.769997,56.119999,4936.6001,415.32999,268.89001
1981q1,2055.3999,77,57.610001,5032.5,411.35999,240.41
1981q2,2112,78.75,58.939999,4997.2998,424.09,235.33
1981q3,2181.7,79.279999,60.630001,5056.7998,426.85001,231.44
1981q4,2259,79.199997,61.5,4997.1001,437.23001,234.91
1982q1,2298.8,79.870003,62,4914.2998,438.82999,229.24001
1982q2,2353,79.959999,62.950001,4935.5,446.06,227.53999
1982q3,2416.5,80.32,64.139999,4912.1001,451.82999,226.88
1982q4,2469.1001,80.400002,64.269997,4915.6001,475.29001,237.05
1983q1,2529.5,80.449997,64.239998,4972.3999,479.89999,231.85001
1983q2,2580,80.730003,65.050003,5089.7998,498.64999,235.39
1983q3,2626.3,81.5,65.830002,5180.3999,510.04999,237.95
1983q4,2708.7,81.900002,66.400002,5286.7998,524.06,242.78
1984q1,2766.8,82.82,67.120003,5402.2998,523.42999,237.78999
1984q2,2846,83.370003,67.860001,5493.7998,537.34003,241.50999
1984q3,2905.8,83.169998,68.589996,5541.2998,541.63,241.25
1984q4,3004.8,82.959999,69.089996,5583.1001,552.19,246.06
1985q1,3051.7,82.769997,69.550003,5629.7002,557.15002,243.75
1985q2,3100.1001,82.849998,70.379997,5673.7998,576.52002,250.28
1985q3,3148.7,82.290001,70.900002,5758.6001,596.28003,257.75
1985q4,3221.8,82.800003,71.529999,5806,617.84998,267.51001
1986q1,3273,81.540001,71.709999,5858.8999,621.22998,263.81
1986q2,3349,80.019997,71.529999,5883.2998,651.84003,275.88
1986q3,3432.3999,79.650002,72.059998,5937.8999,678.75,285.09
1986q4,3513.5,79.940002,72.470001,5969.5,713.57001,298.72
1987q1,3538.6001,80.879997,73.279999,6013.2998,725.78998,293.14999
1987q2,3588.2,82.160004,74.230003,6077.2002,745.03998,296.38
1987q3,3640,83.089996,75.07,6128.1001,744.95001,291.07001
1987q4,3698.8999,83.489998,75.720001,6234.3999,758.02002,295.84
1988q1,3760,83.980003,76.169998,6275.8999,753.44,284.66
1988q2,3828.1001,85.370003,77.129997,6349.7998,773.29999,288.39999
1988q3,3872.5,86.57,78.160004,6382.2998,782.03998,289.41
1988q4,3941.3,86.970001,78.970001,6465.2002,790.27002,292.14001
1989q1,3962.3999,88.919998,79.839996,6543.7998,779.45001,280.28
1989q2,3987.6001,90.410004,81.160004,6579.3999,776.37,277.26999
1989q3,4029.8999,90.089996,81.809998,6610.6001,778.31,277.85001
1989q4,4089.3999,90.440002,82.599998,6633.5,794.65002,283.88
1990q1,4102.2998,91.779999,84.019997,6716.2998,793.95001,274.59
1990q2,4110.3999,91.589996,84.870003,6731.7002,806.91998,274.14001
1990q3,4145.7002,93.269997,86.339996,6719.3999,813.57001,276.76999
1990q4,4164.2998,96.050003,87.739998,6664.2002,827.79999,282.31
1991q1,4207.7002,94.129997,88.459999,6631.3999,829.19,271.51001
1991q2,4202.3999,93.190002,88.989998,6668.5,849.65002,276.12
1991q3,4179.6001,93.029999,89.690002,6684.8999,863.35999,278.98999
1991q4,4219,93.169998,90.360001,6720.8999,893.97998,292.09
1992q1,4237.3999,92.93,91,6783.2998,920.34998,299.19
1992q2,4206.6001,93.889999,91.739998,6846.7998,949.20001,310.54999
1992q3,4220,94.370003,92.459999,6899.7002,971.57001,320.48999
1992q4,4232,94.449997,93.120003,6990.6001,1022.62,344.45999
1993q1,4204.8999,94.82,93.910004,6988.7002,1030.71,338.19
1993q2,4231.7998,95.790001,94.629997,7031.2002,1062,353.35999
1993q3,4232.3999,95.330002,95,7062,1090.03,368.14001
1993q4,4297,95.300003,95.660004,7168.7002,1131.3,390.79999
1994q1,4269.2002,95.650002,96.269997,7229.3999,1132.2,383.67001
1994q2,4286.5,96.209999,96.879997,7330.2002,1141.9301,382.89001
1994q3,4309,96.910004,97.739998,7370.2002,1146.71,384.75
1994q4,4379.5,97.309998,98.199997,7461.1001,1159.25,392.89001
1995q1,4407.7998,98.940002,99,7488.7002,1144.27,379.28
1995q2,4499.7998,100.14,99.879997,7503.2998,1144.59,379.09
1995q3,4574.8999,100.35,100.32,7561.3999,1140.6801,387.26001
1995q4,4647.6001,100.57,100.8,7621.8999,1140.85,397.85001
1996q1,4734.7998,101.24,101.72,7676.3999,1117.29,394.45001
1996q2,4795,102.47,102.72,7802.8999,1116.8,404.73999
1996q3,4857.1001,102.6,103.27,7841.8999,1099.41,406.54999
1996q4,4993.5,102.81,104.01,7931.2998,1089.46,408.89999
1997q1,5085.2002,103,104.71,8016.3999,1073.04,398.37
1997q2,5153.6001,101.96,105.13,8131.8999,1063.62,394.26999
1997q3,5296.1001,101.96,105.55,8216.5996,1064.34,396.70001
1997q4,5476.1001,102.14,105.96,8272.9004,1075.85,399.82001
1998q1,5624.1001,100.22,106.25,8396.2998,1073.36,389.07001
1998q2,5698.6001,100.14,106.81,8442.9004,1077.1,384.60999
1998q3,5837.1001,99.629997,107.23,8528.5,1070.7,375.13
1998q4,6070.8999,98.910004,107.6,8667.9004,1098.16,384.23999
1999q1,6157.7002,98.269997,108.02,8733.5,1094.73,370.31
1999q2,6203.7998,99.790001,109.07,8771.2002,1101.87,364.35999
1999q3,6262.5,101.69,109.75,8871.5,1091.88,354.12
1999q4,6573.2998,102.55,110.42,9049.9004,1118.96,360.98001
2000q1,6724.2998,103.91,111.52,9102.5,1110.42,340.19
2000q2,6783.8999,105.83,112.7,9229.4004,1109.29,335.82999
2000q3,6937.2002,107.17,113.6,9260.0996,1096.77,327.04001
2000q4,7151.1001,108.64,114.21,9303.9004,1099.71,322.22
2001q1,7400.2002,110.43,115.3,9334.5,1098.13,309.92001
2001q2,7597.5,109.2,116.5,9341.7002,1118.85,309.72
2001q3,7764.6001,106.9,116.66,9310.4004,1156.5,330.98001
2001q4,8067.8999,103.69,116.33,9348.5996,1174.46,334.92999
2002q1,8148.6001,103.4,116.75,9482.0996,1182.14,323.06
